Energy_Meter_ID,Year,Month_Num,Present_Reading,Previous_Reading,Difference,Meter_Constant,Net_Energy_MU,Consumption_Ratio,Meter_Status_OK,meter_mean_diff,meter_std_diff,meter_mean_net,meter_std_net,meter_record_count,Diff_Zscore,Net_Energy_Zscore,Diff_Deviation_Ratio
2208926,2020,0,94681.1,88517.0,6164.10000000001,2000.0,12328200.0,0.0696374707683271,1,5373.7642857142855,944.0044907770816,10747528.57142857,1888008.981554164,14,0.8372160535329017,0.8372160535328905,1.1470730147927717
GECO2400,2020,0,12700.5,10247.0,2453.5,3000.0,7360500.0,0.2394359324680394,1,2296.385714285715,336.18099259211584,6889157.142857144,1008542.9777763454,14,0.4673502939677191,0.4673502939677216,1.0684180731211157
KAU09330,2020,2,342281.8,338102.0,4179.8,1500.0,7269900.0,0.0123625414815647,0,4179.8,12.654643598964242,7269900.0,399980.85516549455,1,-0.104794986695801,-0.0703827710098905,1.0
Q0245915,2020,0,8.335,0.0,8.335,120000.0,0.0,0.0,1,60.67209302325582,17.88446336883331,7430185.7142857155,1932169.929421755,43,-2.92639996760887,0.0,0.1373778220706044
KAU09419,2020,0,15752.2,15641.6,110.6,1000.0,166640.0,0.007070887888707,1,110.6,0.0,166640.0,0.0,1,0.0,0.0,1.0
Q0245881,2020,1,2.802,174.56099999999998,2.802,20000.0,91109.9999999999,0.027971711537113,0,5.491263888888889,3.54975705176635,110582.81690140846,71206.78268622402,72,-0.7575909702188542,-0.2583014736455318,0.5102650422008695
KAU09417,2020,0,29129.2,28928.8,200.4,1000.0,231200.0,0.006927352672769,1,200.4,0.0,231200.0,0.0,1,0.0,0.0,1.0
Q0245703,2020,1,1.54,159.877,1.54,20000.0,117980.0,0.040775439921744996,0,7.250782608695652,4.617262983933441,147553.7777777778,91751.76558343042,46,-1.2368328658270713,-0.24308826795814464,0.2123908663532572
KAU09420,2020,0,24762.7,24616.2,150.5,2000.0,303132.0,0.0061138599783882,1,150.5,0.0,303132.0,0.0,1,0.0,0.0,1.0
Q02445763,2020,2,1.066,668.31,1.066,40000.0,487160.0,0.032708966527735,0,1.066,12.654643598964242,653498.6274509804,399980.85516549455,1,-0.104794986695801,-0.0703827710098905,1.0
KAU09802,2020,0,23762.7,23466.0,296.7,2000.0,596272.0,0.0126438251086678,1,296.7,0.0,596272.0,0.0,1,0.0,0.0,1.0
Q02457456,2020,2,1.436,668.31,1.436,40000.0,487160.0,0.032708966527735,0,1.436,12.654643598964242,653498.6274509804,399980.85516549455,1,-0.104794986695801,-0.0703827710098905,1.0
KEB07712,2020,0,14227.5,13383.7,846.8,1000.0,960540.0,0.0632709938208417,1,846.8,0.0,960540.0,0.0,1,0.0,0.0,1.0
Q0245885,2020,11,5.687,704.171,5.687,20000.0,5620.000000001255,0.0002943578208504,0,10.859778378378376,18.73837633034432,344557.15068493143,1059402.593219086,74,-0.2760526465679818,-0.3184126156043597,0.5236755117694405
KEB07709,2020,0,23959.84,23737.49,222.349999999999,2000.0,491779.999999997,0.0093670392278205,1,222.349999999999,0.0,491779.999999997,0.0,1,0.0,0.0,1.0
Q0245949,2020,1,2.354,1378.9070000000002,2.354,20000.0,718930.0000000005,0.022293132276331902,0,37.31822222222222,12.470915139988511,764864.2253521127,242559.7629313648,72,-2.8036613055049964,-0.1570508846633824,0.0630791034466331
KA02541,2020,0,67899.0,67333.7,565.3,2000.0,1391320.0,0.0083954988363924,1,565.3,0.0,1391320.0,0.0,1,0.0,0.0,1.0
Q0246113,2020,2,6.518,668.31,6.518,40000.0,487160.0,0.032708966527735,0,6.518,12.654643598964242,653498.6274509804,399980.85516549455,1,-0.104794986695801,-0.0703827710098905,1.0
KA900304,2020,0,28242.65,27770.56,472.09,1000.0,536610.0,0.0169996571909244,1,472.09,0.0,536610.0,0.0,1,0.0,0.0,1.0
Q0245739,2020,1,6.452,1417.3625,6.452,10000.0,406314.99999999953,0.022295298102554748,0,39.94781944444444,11.267900132210784,415160.42253521126,104383.1187971452,72,-2.9726762796461257,-0.0409090216580442,0.1615106929421471
Q0245930,2020,0,34151.2,32875.9,1275.3,1000.0,1365480.0,0.0387913334691977,1,77.40174999999999,143.8936639763133,2267442.5,526540.6872759613,72,8.324885313902278,-1.712996776500349,16.47637165826354
KA904069,2020,0,12012.4,11578.6,433.799999999999,2000.0,867599.999999999,0.0374656694246281,1,433.799999999999,0.0,867599.999999999,0.0,1,0.0,0.0,1.0
Q0245713,2020,1,3.725,743.7985,3.725,40000.0,149000.0,0.042786482498630304,0,32.79048611111111,15.874084052531863,1311619.4444444445,634963.3621012745,72,-1.8310024071263036,-1.8310024071263036,0.1136000237196172
KEB16422,2020,0,8587839.0,8551134.0,36705.0,120.0,4917000.0,0.0042924131466072,1,36705.0,0.0,4917000.0,0.0,1,0.0,0.0,1.0
Q0245916,2020,1,4.27,1358.623,4.27,120000.0,5239920.000000015,0.036565118505569,0,44.12260294117647,12.08437567798017,5366090.149253732,1335301.248486868,68,-3.297861966820084,-0.06415791893463445,0.09677579551897
KEB07711,2020,0,1153.78,1153.78,0.0,20000.0,0.0,0.0,1,0.1834782608695662,0.7445452523857999,3669.5652173913177,14890.905047715944,46,-0.2464299655147,-0.2464299655147003,0.0
KEB07710,2020,0,4632.23,4621.9,10.3299999999999,20000.0,234799.999999999,0.0022350115753261,1,10.3299999999999,0.0,234799.999999999,0.0,1,0.0,0.0,1.0
Q0245899,2020,1,1.41,287.75149999999996,1.41,20000.0,194040.0,0.0312934814341945,0,9.431333333333336,3.55236493731814,190886.19718309864,68898.3537511435,72,-2.258026265564102,0.04577471949899835,0.1495016611295681
KAU09418,2020,0,5572.57,5560.29,12.2799999999997,10000.0,131199.999999997,0.0022085179010446,1,12.2799999999997,0.0,131199.999999997,0.0,1,0.0,0.0,1.0
Q0245701,2020,1,2.1,292.34000000000003,2.1,10000.0,851570.0000000005,0.0761170790163744,0,30.7575,17.940807879931587,587681.0256410255,399980.85516549455,40,-1.597336094995811,0.6597540131009254,0.0682760302365276
Q0245773,2020,0,20933.96,20538.2,395.759999999998,4000.0,1782519.99999999,0.0192694588620228,1,29.999624999999973,45.97636836445583,1004875.5555555556,577514.2749601826,72,7.955399436958707,1.346537182129481,13.19216490206122
KAU09422,2020,0,25272.33,24921.88,350.450000000001,4000.0,1479880.0,0.0140619407524633,1,350.450000000001,0.0,1479880.0,0.0,1,0.0,0.0,1.0
Q0245716,2020,1,1.952,316.152,1.952,40000.0,994600.0,0.043745533350204896,0,21.62518055555556,14.921138887475545,876090.704225352,593584.408110889,72,-1.3184771419873829,0.19965028419767544,0.0902651422948941
KA900305,2020,0,7609.86,7503.92,105.94,10000.0,1059400.0,0.0141179543491934,1,105.94,0.0,1059400.0,0.0,1,0.0,0.0,1.0
Q0245809,2020,1,9.317,756.954,9.317,20000.0,1245740.0,0.0294562046525544,0,23.615661971830985,5.396258698510247,487234.3661971831,137110.4789652949,71,-2.6497361914428668,5.532076319234566,0.3945263110182309
